,IFC,Master Format,eBPK,Master Format indexes,eBPK indexes
148,kerb,['Asphalt Curbs' 'Curbs and Gutters' 'Manufactured Curbs'],['Recreation system control' 'Access control system' 'Refrigeration'],[5709 5705 1646],[235  94 111]
149,road,['Temporary Roads' 'Temporary Access Roads' 'Road-Mix Asphalt Paving'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 442  439 5650],[327 102 104]
150,road  part,"['Spare Parts' 'Irrigation Components'
 'Free-Standing Component System Furniture']",['Special component' 'Perimeter contribution' 'Colding Investment share'],[ 513 5807 3273],[187   3 115]
151,beam,['Concrete Beam Schedule' 'Glued-Laminated Beams' 'Beam Scaffolding'],['Shaft front' 'Air distribution' 'Air output'],[ 810 1285 3569],[172 119 120]
152,bearing,"['Joint Slide Bearings'
 'Schedules for Special Foundations and Load Bearing Elements'
 'Maintenance of Special Foundations and Load Bearing Elements']",['Freely standing wall' 'Interior support' 'Outer support'],[1696 5289 5263],[250  64  63]
153,building element  proxy,['Building Modules' 'Building Demolition' 'Metal Building Systems'],['Commissioning building' 'Provisional building' 'Building acquisition'],[3447  661 3430],[318  25   2]
154,building  system,['Metal Building Systems' 'Building Modules' 'Building Demolition'],['Commissioning building' 'Provisional building' 'Building acquisition'],[3430 3447  661],[318  25   2]
155,chimney,"['Insulated Sectional Chimneys' 'Manufactured Fireplace Chimneys'
 'Electrical Power Generation Voltage Test Equipment']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4187 2567 8773],[327 102 104]
156,column,"['Concrete Column Schedule' 'Steel Column Schedule'
 'Glued-Laminated Columns']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[ 807 1072 1286],[327 102 104]
157,covering,['Wall Coverings' 'Walkway Coverings' 'Protective Wall Covering'],['Exterior coating' 'care' 'retaining wall'],[2339 2683 2545],[152  16 249]
158,curtain  wall,"['Entrances, Storefronts, and Curtain Walls'
 'Schedules for Entrances, Storefronts, and Curtain Walls'
 'Operation and Maintenance of Curtain Walls']",['retaining wall' 'Interior wall construction' 'Outside wall construction'],[1903 1771 1716],[249  62  61]
159,door,['Door Schedule' 'Single-Panel Doors' 'Door Louvers'],['Anterior door' 'Interior door' 'Outside wall construction'],[1768 1892 2050],[159 174  61]
160,member,['Flexible Member Pumps' 'Process Humidifiers' 'Process Ductwork'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[7970 7811 7046],[327 102 104]
161,plate,"['Metal Plate Wall Panels' 'Metal Floor Plate Stairs'
 'Inclined Plate Settlers']",['Base plate' 'Interior door' 'Interior gate'],[1545 1137 8588],[ 58 174 175]
162,railing,['Metal Railings' 'Rail Vehicles' 'Composite Railings'],['Heat train investment share' 'Gear' 'VAT'],[1149 7725 1367],[109 147 327]
163,ramp,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
164,ramp  flight,['Metal Ramps' 'Powered Ramps' 'Temporary Ramps'],['Roof inclined' 'Element to inclined roof' 'Construction inclined roof'],[1147 3541  430],[165 168  69]
165,roof,['Roof Pavers' 'Roof Re-Coating' 'Ceilings'],['System roof' 'Emergency roof' 'Protection system to roof'],[1657 1385 2216],[166  51 169]
166,shading  device,['Device Network Equipment' 'Wiring Device Schedule' 'Audio-Video Devices'],['Device for treatment' 'Storage device' 'Mobile device'],[7205 4527 4807],[215 245 287]
167,slab,"['Concrete Slab Schedule' 'Concrete Slab Reinforcing Schedule'
 'Lift-Slab Concrete']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[808 804 864],[327 102 104]
168,stair,"['Metal Stair Treads' 'Precast Concrete Stair Treads'
 'Composite Stair Assemblies']",['Stairs' 'Inside stairs' 'Tied stairs'],[1157  869 1361],[251  66  59]
169,stair  flight,"['Chain and Flight Scum Collection and Removal Equipment'
 'Metal Stair Treads' 'Precast Concrete Stair Treads']",['Stairs' 'Inside stairs' 'Tied stairs'],[8520 1157  869],[251  66  59]
170,wall,"['Air-Distribution Wall Plenums' 'Stretched-Fabric Wall Systems'
 'Sound-Absorbing Wall Units']",['retaining wall' 'Interior wall construction' 'Outside wall construction'],[4115 2358 2382],[249  62  61]
171,wall standard  case,['Case Goods' 'Plastic-Laminate-Clad Case Goods' 'Metal Case Goods'],['retaining wall' 'Interior wall construction' 'Outside wall construction'],[3206 3209 3207],[249  62  61]
172,window,['Window Schedule' 'Window Treatments' 'Window Blinds'],['Window' 'Inner window' 'Inner window expansion'],[1774 3078 3079],[158 173 184]
173,distribution chamber  element,"['Distribution Chambers' 'Concrete Distribution Chambers'
 'Bedroom Furnishings']","['Water distribution' 'Production system distribution'
 'Water installation element']",[6159 6003 3176],[125 196 127]
174,distribution control  element,['Control Valves' 'Control Valves' 'Control Dampers'],['Recreation system control' 'Access control system' 'Water distribution'],[4020 4017 4021],[235  94 125]
175,distribution flow  element,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],"['Water distribution' 'Production system distribution'
 'Water installation element']",[7245 6176 7267],[125 196 127]
176,distribution  port,"['Medium-Voltage Electrical Distribution'
 'Schedules for Medium-Voltage Electrical Distribution' 'Gun Ports']","['Water distribution' 'Production system distribution'
 'Laboratory system distribution']",[4555 4521 3021],[125 196 201]
177,distribution  system,"['Medium-Voltage Electrical Distribution'
 'Schedules for Medium-Voltage Electrical Distribution'
 'Audio-Video Systems']","['Production system distribution' 'Laboratory system distribution'
 'Usage specific system distribution']",[4555 4521 4851],[196 201 240]
178,energy conversion  device,"['Energy Meters' 'Hydronic Energy Distribution'
 'Ground-Level Hydronic Energy Distribution']",['Device for treatment' 'Storage device' 'Mobile device'],[4022 6312 6314],[215 245 287]
179,flow  controller,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],"['Storage strong current' 'Transforming strong current'
 'Consumer strong current electrical appliances']",[7245 6176 7267],[77 76 80]
180,flow  fitting,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],"['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[7245 6176 7267],[132 197 202]
181,flow moving  device,['Moving Ramps' 'Structure Moving' 'Moving Walks'],['Device for treatment' 'Storage device' 'Mobile device'],[3539  673 3538],[215 245 287]
182,flow  segment,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],"['Storage strong current' 'Transforming strong current'
 'Consumer strong current electrical appliances']",[7245 6176 7267],[77 76 80]
183,flow storage  device,['Flow Storage Racks' 'Flow Nozzle-Type Flow Meters' 'Flow Regulators'],['Storage device' 'Storage strong current' 'Production system storage'],[2637 7245 6176],[245  77 195]
184,flow  terminal,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],"['Storage strong current' 'Transforming strong current'
 'Storage of weak stream']",[7245 6176 7267],[77 76 83]
185,flow treatment  device,['Flow Nozzle-Type Flow Meters' 'Flow Regulators' 'Flow Metering Weirs'],['Device for treatment' 'Wastewater treatment' 'Water treatment'],[7245 6176 7267],[215 129 123]
186,building element  part,['Spare Parts' 'Building Modules' 'Building Demolition'],['Commissioning building' 'Provisional building' 'Special component'],[ 513 3447  661],[318  25 187]
187,discrete  accessory,"['Toilet, Bath, and Laundry Accessory Schedule' 'Audio-Video Accessories'
 'Valve Accessories']",['Advice on planning' 'Lying on the outside' 'Gear'],[2440 4863 7021],[299  72 147]
188,element  component,"['Irrigation Components' 'Free-Standing Component System Furniture'
 'Panel-Hung Component System Furniture']","['Special component' 'Water installation element'
 'Artistically designed component']",[5807 3273 3272],[187 127 291]
189,fastener,"['Direct-Fixation Fasteners' 'Detention Equipment Fasteners'
 'Metal Fastenings']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[6521 3028 1068],[327 102 104]
190,mechanical  fastener,['Mechanical' 'Direct-Fixation Fasteners' 'Mechanical Seeding'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[4976 6521 5832],[327 102 104]
191,asset,"['Asset Tracking Systems' 'Cellular Asset Tracking Systems'
 'GPS Asset Tracking Systems']",['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5103 5106 5105],[327 102 104]
192,furniture,['Furniture' 'Audio-Visual Furniture' 'Schedules for Furniture'],['General furniture' 'Usage specific furniture' 'VAT'],[3204 3246 3052],[281 282 327]
193,system furniture  element,"['Free-Standing Component System Furniture'
 'Panel-Hung Component System Furniture' 'Systems Furniture']",['System roof' 'General furniture' 'Parking system'],[3273 3272 3271],[166 281 242]
194,bore hole,"['Joint Slide Bearings'
 'Schedules for Special Foundations and Load Bearing Elements'
 'Maintenance of Special Foundations and Load Bearing Elements']",['Freely standing wall' 'Interior support' 'Outer support'],[1696 5289 5263],[250  64  63]
195,course,"['Subbase Courses' 'Sand-Clay Subbase Courses'
 'Preservation of Water Courses']",['Rainwater line' 'Gas line' 'Power line'],[5622 5623 6687],[34 35 28]
196,earthworks  cut,['Tunneling by Cut and Cover' 'Cutting Equipment' 'Concrete Cutting'],['Remuneration for sale' 'Sales for additional costs' 'Water supply'],[5536 7629  906],[321 322 122]
197,earthworks  element,['Element Screens' 'Specialty Element Construction' 'Earthwork'],"['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5257],[127 187 168]
198,earthworks  fill,['Fill' 'Flowable Fill' 'Excavation and Fill'],"['Wastewater fitting' 'Production system fitting'
 'Laboratory system fitting']",[5335 5338 5328],[132 197 202]
199,geo model,['Building Information Modeling Exhibit' 'Molds' 'Mold Remediation'],['Facade framework' 'Gas warning system' 'Provisional work management'],[ 170 7614  763],[49 98 24]
200,geo slice,"['Piece Material Turntables' 'Piece Material Conveyors'
 'Reciprocating Piece Material Conveyors']",['Remuneration for sale' 'Sales for additional costs' 'VAT'],[7488 7472 7479],[321 322 327]
201,geotechnical  assembly,"['Multi-Outlet Assemblies' 'Structured-Polycarbonate-Panel Assemblies'
 'Fiberglass-Sandwich-Panel Assemblies']",['Wastewater collection' 'Podest lying outside' 'Lying on the outside'],[4610 1949 1950],[131  71  72]
202,geotechnical  element,"['Element Screens' 'Specialty Element Construction'
 'Irrigation Components']","['Water installation element' 'Special component'
 'Element to inclined roof']",[8491 3365 5807],[127 187 168]
203,geotechnical  stratum,"['Drainage Layers' 'Geosynthetic Drainage Layers'
 'Geogrid Layer Separation']","['Vegetation strag layer' 'Protective layer under terrain'
 'Management level']",[6192 6194 5379],[256 151  86]
204,pavement,['Aggregate-Turf Pavement' 'Sidewalks' 'Concrete Paving'],['VAT' 'Smoke and heat treatment plant' 'Heat source'],[5703 5711 5670],[327 102 104]
205,reinforced  soil,['Reinforced Soil Retaining Walls' 'Soil Treatment' 'Soil Mixers'],"['Recreation system built in' 'Land registry fee'
 'Improvement building ground']",[5777 5353 3015],[236   6  45]
206,sign,['Exit Signs' 'Signaling Equipment for Waterways' 'Signal Controllers'],['Signal' 'Firm partition' 'Interior support'],[4688 6710 4969],[284 170  64]
207,signal,"['Signal Controllers' 'Signal Conditioners and Converters'
 'Signaling Equipment for Waterways']",['Signal' 'Management level' 'Automation level'],[4969 7375 6710],[284  86  87]
208,action  request,['Request for Qualifications' 'Request for Proposal' 'Proposal Requests'],['Signal' 'Provisional work management' 'working space'],[ 14  13 315],[284  24  17]
209,permit,['Permits' 'Permit Requirements' 'Permit Application'],"['Remuneration for first letting' 'Additional costs for first letting'
 'reserve']",[ 83 389  82],[319 320 325]
210,project  order,['Change Orders' 'Change Order Requests' 'Purchase Order Tracking'],"['Advice on planning' 'Artistically designed component'
 'Additional costs for planning services']",[318 317 345],[299 291 298]
211,structural  action,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Provisional work management'
 'working space']",[ 812 1095 1356],[53 24 17]
212,structural  activity,['Special Activity Rooms' 'Structural Concrete' 'Structural Cabling'],"['Structural adaptation adjacent building' 'VAT'
 'Electro acoustic loudspeaker system']",[3389  812 1095],[ 53 327 103]
213,structural  connection,['Fire-Department Connections' 'Wiring Connections' 'Structural Concrete'],"['Structural adaptation adjacent building' 'Tied stairs'
 'Earth connected podium']",[3622 4519  812],[53 59 60]
214,structural curve  action,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Lifting device'
 'Device for treatment']",[ 812 1095 1356],[ 53 148 215]
215,structural curve  connection,['Fire-Department Connections' 'Wiring Connections' 'Structural Concrete'],['Structural adaptation adjacent building' 'Lifting device' 'Tied stairs'],[3622 4519  812],[ 53 148  59]
216,structural curve  member,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Lifting device'
 'Device for treatment']",[ 812 1095 1356],[ 53 148 215]
217,structural curve member  varying,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Hand change tax'
 'Switching device combination']",[ 812 1095 1356],[53  4 91]
218,structural curve  reaction,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Lifting device'
 'Device for treatment']",[ 812 1095 1356],[ 53 148 215]
219,structural  item,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Individual planting'
 'Special elevator']",[ 812 1095 1356],[ 53 260 145]
220,structural linear  action,"['Linear Metal Ceilings' 'Linear Actuators and Positioners'
 'Linear Heat Detection Sensors']","['Structural adaptation adjacent building' 'Element to flat roof'
 'Construction of flat roof']",[2233 7389 5138],[ 53 167  68]
221,structural  member,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'VAT'
 'Electro acoustic loudspeaker system']",[ 812 1095 1356],[ 53 327 103]
222,structural planar  action,['Structural Concrete' 'Structural Cabling' 'Structural Composites'],"['Structural adaptation adjacent building' 'Element to flat roof'
 'Construction of flat roof']",[ 812 1095 1356],[ 53 167  68]
